Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
14109,2.09,Ideal,I,SI2,61.2,57.0,8.19,8.27,5.04,13807
17898,0.7,Ideal,F,SI1,61.6,55.0,5.72,5.74,3.53,2806
24833,1.32,Ideal,E,SI2,62.7,56.0,7.03,6.97,4.39,7037
22959,1.02,Premium,F,SI1,60.1,60.0,6.58,6.53,3.94,5686
7916,1.28,Premium,G,VS2,62.1,60.0,6.95,6.89,4.3,8139
23448,1.2,Good,G,VS1,62.8,59.0,6.64,6.7,4.19,8442
12031,0.9,Good,I,VVS1,63.6,58.0,6.14,6.1,3.89,4114
1749,0.43,Ideal,J,SI1,61.9,54.0,4.88,4.84,3.01,708
6341,0.31,Ideal,F,SI1,62.3,56.0,4.38,4.35,2.72,707
11345,0.44,Ideal,G,IF,62.2,53.0,4.9,4.94,3.06,1348
2092,1.06,Ideal,F,I1,62.1,55.0,6.54,6.57,4.07,3544
5549,0.58,Premium,E,SI1,60.7,61.0,5.47,5.27,3.28,1641
26036,0.5,Good,D,SI2,63.1,56.0,5.05,4.96,3.16,958
22869,0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,2821
7434,1.1,Very Good,I,SI1,62.7,58.0,6.54,6.58,4.11,4356
3582,2.23,Very Good,J,SI2,60.5,61.0,8.4,8.47,5.1,12655
10781,1.01,Premium,E,SI2,59.5,60.0,6.59,6.53,3.9,3801
13110,0.57,Premium,F,VS1,61.3,54.0,5.41,5.35,3.3,1815
12984,1.71,Premium,J,SI2,,57.0,7.62,7.58,4.76,8540
24718,0.33,Ideal,G,SI1,61.3,56.0,4.51,4.46,2.75,631
26662,0.7,Very Good,E,SI1,60.3,60.0,5.77,5.81,3.49,2312
6441,0.4,Ideal,E,VS2,60.9,56.0,4.78,4.81,2.92,904
9139,1.0,Good,H,SI1,61.2,62.0,6.32,6.36,3.88,4389
22139,0.35,Ideal,I,VS2,59.8,57.0,4.59,4.6,2.75,491
2754,0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,2767
9865,0.23,Premium,E,VVS1,60.8,56.0,3.99,3.94,2.41,640
25871,0.79,Ideal,E,VS2,59.3,57.0,6.02,6.06,3.58,3377
8352,1.12,Premium,H,VS1,62.1,58.0,6.6,6.64,4.11,5845
16150,0.7,Very Good,I,VS1,61.4,57.0,5.71,5.74,3.52,2405
568,2.03,Premium,D,SI2,61.7,58.0,8.14,8.1,5.01,13229
25996,1.74,Premium,H,SI2,59.9,59.0,7.88,7.8,4.7,10874
25169,0.51,Ideal,G,SI2,61.5,55.0,5.16,5.18,3.18,1129
25050,0.4,Very Good,J,IF,62.2,61.0,4.68,4.71,2.92,828
10033,0.33,Very Good,G,SI1,63.2,57.0,4.44,4.39,2.79,631
2898,1.06,Premium,I,SI2,61.5,58.0,6.59,6.55,4.04,3847
13533,2.4,Fair,J,SI2,65.4,56.0,8.35,8.29,5.44,15824
22442,0.33,Ideal,H,IF,61.1,56.0,4.47,4.5,2.74,838
15999,0.3,Premium,E,SI1,61.3,60.0,4.27,4.31,2.63,526
622,0.9,Ideal,E,VS1,61.7,56.0,6.19,6.22,3.83,6230
19914,0.77,Ideal,G,VS1,62.4,54.0,5.93,5.89,3.69,3121
11926,1.07,Ideal,E,VVS2,61.7,57.0,6.55,6.61,4.06,10104
12250,1.21,Premium,J,VS1,,60.0,6.99,6.9,4.13,5556
12488,1.07,Premium,F,SI2,61.8,58.0,6.51,6.57,4.04,4366
13618,1.33,Premium,H,VS2,62.6,58.0,7.07,7.01,4.41,7943
16597,1.58,Ideal,I,VS1,62.4,54.0,7.43,7.46,4.64,10920
11310,0.8,Good,G,SI2,62.8,58.0,5.86,5.9,3.69,2363
16937,0.71,Good,G,VS1,58.1,59.0,5.85,5.92,3.42,2628
461,1.04,Premium,E,SI2,62.4,57.0,6.51,6.43,4.04,4892
16534,0.35,Ideal,H,VVS1,61.7,56.0,4.55,4.53,2.8,1024
4023,0.66,Ideal,G,SI1,61.7,55.0,5.64,5.6,3.47,1885
2637,1.08,Premium,G,VS2,59.4,59.0,6.68,6.75,3.99,6415
1919,0.45,Ideal,G,IF,61.7,55.0,4.93,4.96,3.05,1548
24133,0.36,Ideal,E,SI1,62.4,55.0,4.58,4.55,2.85,810
22306,1.26,Premium,J,SI1,61.7,58.0,6.99,6.91,4.29,5207
5315,0.33,Ideal,E,VS2,61.9,56.0,4.4,4.45,2.74,723
19808,0.7,Good,H,VVS2,61.4,64.0,5.73,5.61,3.48,2475
1926,0.34,Ideal,G,VS2,62.4,57.0,4.46,4.48,2.79,517
14510,0.41,Ideal,I,VVS1,61.8,55.0,4.76,4.79,2.95,863
16894,0.5,Premium,G,SI2,58.6,61.0,5.21,5.16,3.04,1078
14891,0.52,Ideal,E,VS2,62.1,57.0,5.22,5.19,3.23,1617
9086,1.03,Premium,G,SI1,60.1,60.0,6.55,6.52,3.93,5581
18770,0.3,Premium,D,VS2,61.0,60.0,4.33,4.29,2.63,911
21065,0.51,Very Good,D,VS1,63.1,58.0,5.05,5.1,3.2,1838
11932,0.32,Ideal,E,IF,61.9,56.0,4.4,4.42,2.73,1095
2183,0.92,Premium,F,SI2,58.1,58.0,6.46,6.41,3.74,3282
4065,1.21,Ideal,F,SI1,61.2,59.0,6.8,6.85,4.18,7349
15388,0.4,Very Good,E,SI1,61.4,58.0,4.77,4.81,2.94,687
6883,1.38,Ideal,F,VVS1,62.9,56.0,7.04,7.1,4.45,15968
2383,0.72,Ideal,F,SI1,61.7,54.0,5.77,5.8,3.57,2737
6390,0.41,Ideal,D,SI1,61.7,56.0,4.77,4.8,2.95,744
15463,2.03,Premium,E,SI2,61.5,59.0,8.24,8.16,5.04,18477
9326,0.91,Premium,H,VS2,62.3,57.0,6.22,6.13,3.85,3963
5692,1.01,Very Good,G,VS2,62.5,59.0,6.34,6.37,3.97,6204
26584,0.81,Premium,G,VS2,62.9,58.0,5.94,5.88,3.72,3193
21265,0.91,Premium,E,VS2,61.6,58.0,6.2,6.18,3.81,4739
15378,0.33,Ideal,F,VVS1,61.9,54.0,4.42,4.46,2.75,880
15693,0.35,Premium,H,SI2,61.6,58.0,4.49,4.54,2.78,441
6647,0.23,Very Good,E,VVS2,61.1,58.0,3.93,3.99,2.42,505
23213,0.24,Good,F,VS1,58.3,61.0,4.09,4.14,2.4,373
25028,1.27,Ideal,F,VS2,61.0,59.0,6.96,6.98,4.25,9547
5910,0.4,Ideal,D,VS2,61.3,56.0,4.74,4.79,2.92,982
15407,0.4,Ideal,G,SI1,60.9,55.0,4.8,4.78,2.92,873
20580,1.01,Premium,H,SI1,59.8,60.0,6.48,6.52,3.89,4559
25895,1.09,Ideal,F,SI2,61.2,57.0,6.6,6.64,4.05,4891
20939,0.44,Ideal,I,VS1,61.8,55.0,4.89,4.92,3.03,807
18004,0.9,Fair,D,SI2,65.9,59.0,6.0,5.95,3.94,3205
21960,0.56,Premium,E,VS2,61.0,62.0,5.36,5.28,3.24,1882
4080,0.31,Premium,G,SI2,61.8,59.0,4.34,4.3,2.67,523
17080,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,1776
2672,0.9,Premium,F,SI1,60.4,59.0,6.29,6.32,3.81,4062
10448,0.92,Premium,H,VVS2,62.5,58.0,6.25,6.16,3.88,4637
21994,0.9,Very Good,F,VS2,63.4,58.0,6.07,6.11,3.86,4400
16299,0.7,Premium,F,SI2,61.8,60.0,5.65,5.71,3.51,2213
6415,0.24,Ideal,F,VVS2,61.7,55.0,3.99,4.02,2.47,678
21322,0.7,Premium,G,SI1,61.2,60.0,5.7,5.74,3.5,2042
10319,0.4,Very Good,G,VS1,60.4,57.0,4.76,4.77,2.88,760
23945,1.01,Ideal,F,SI2,62.7,57.0,6.43,6.37,4.01,4017
1793,0.53,Ideal,E,VS2,61.8,56.0,5.17,5.21,3.21,1676
8832,1.11,Premium,H,SI1,,58.0,6.63,6.59,4.09,4960
4849,2.0,Fair,H,SI2,55.3,65.0,8.42,8.35,4.64,11202
26419,0.9,Very Good,G,VS1,61.5,56.0,6.2,6.23,3.82,5148
18099,0.31,Premium,H,VVS2,61.4,58.0,4.32,4.35,2.66,625
663,1.35,Premium,J,SI1,61.1,61.0,7.13,7.1,4.35,5715
26810,1.01,Very Good,H,SI1,61.9,57.0,6.36,6.41,3.95,4432
26691,0.54,Ideal,H,VS1,62.4,56.0,5.22,5.2,3.25,1637
13111,0.37,Premium,E,VS2,60.2,58.0,4.65,4.68,2.81,757
6623,0.71,Ideal,E,SI1,61.6,53.0,5.79,5.73,3.55,2258
13542,0.52,Premium,G,SI1,62.6,58.0,5.13,5.1,3.2,1249
2719,1.1,Premium,H,SI2,62.6,57.0,6.6,6.56,4.12,4435
17211,1.0,Very Good,G,VS2,62.4,58.0,6.31,6.38,3.96,6449
8337,0.32,Very Good,G,VS2,63.1,57.0,4.35,4.3,2.73,720
18699,1.23,Premium,F,SI2,61.7,58.0,6.85,6.95,4.26,4876
7628,0.42,Ideal,G,VVS1,60.6,56.0,4.86,4.88,2.95,1179
19404,0.9,Good,I,VS2,58.5,66.0,6.23,6.25,3.65,3353
17784,1.21,Fair,J,SI2,64.6,59.0,6.74,6.64,4.32,3984
12037,2.1,Ideal,I,SI1,60.8,60.0,8.24,8.35,5.04,17250
8150,0.53,Ideal,E,VS2,62.1,54.6,5.19,5.21,3.23,1690
17238,1.33,Ideal,G,VS1,59.9,57.3,7.16,7.21,4.3,10732
8809,0.4,Very Good,D,SI2,63.1,56.0,4.67,4.65,2.94,798
10758,0.24,Ideal,G,VVS1,62.4,56.0,3.97,3.99,2.48,559
16881,1.25,Premium,I,SI2,60.1,60.0,6.99,6.95,4.19,4340
14426,0.43,Premium,D,SI1,61.0,57.0,4.88,4.85,2.97,993
5063,0.51,Ideal,J,VS1,61.6,54.0,5.14,5.18,3.18,988
22531,1.59,Ideal,E,SI2,62.3,55.0,7.48,7.52,4.67,11149
24747,0.34,Ideal,D,VS2,60.6,57.0,4.51,4.53,2.74,805
11810,0.5,Ideal,E,VS2,,55.0,5.12,5.14,3.15,1614
10724,0.73,Ideal,G,VVS2,62.2,55.0,5.74,5.77,3.58,3183
5304,1.51,Ideal,G,VS1,61.7,54.0,7.36,7.41,4.56,13818
17716,1.01,Very Good,D,VS2,62.9,58.0,6.35,6.41,4.01,6738
25422,1.05,Ideal,E,SI2,60.3,61.0,6.56,6.6,3.97,4714
24006,0.53,Ideal,G,VS2,61.2,56.0,5.19,5.22,3.19,1577
21601,0.31,Good,E,SI1,63.7,57.0,4.31,4.29,2.74,698
23799,0.32,Ideal,I,VS1,60.9,56.0,4.44,4.46,2.71,505
5805,1.11,Premium,H,VS2,61.7,58.0,6.64,6.69,4.11,5450
18424,0.39,Ideal,H,IF,61.9,55.6,4.68,4.7,2.91,1039
9458,0.31,Premium,G,VS2,61.7,59.0,4.34,4.31,2.67,698
12100,1.02,Good,I,SI2,57.1,62.0,6.66,6.58,3.78,3342
19989,1.1,Premium,I,SI1,62.0,59.0,6.59,6.54,4.07,4620
4708,0.52,Very Good,E,VS1,63.4,54.0,5.08,5.11,3.23,1601
16179,0.54,Ideal,D,VS1,62.0,56.0,5.21,5.25,3.24,1941
16365,0.32,Ideal,E,IF,60.6,60.0,4.43,4.45,2.69,1004
25498,1.02,Ideal,H,I1,62.1,56.0,6.45,6.4,3.99,3987
16739,0.51,Very Good,E,VS1,61.6,59.0,5.1,5.12,3.15,1778
14387,0.7,Premium,H,VS1,62.8,60.0,5.61,5.56,3.51,2367
14982,0.31,Premium,E,SI1,62.9,58.0,4.33,4.29,2.71,698
13339,0.77,Premium,G,VS2,61.3,60.0,5.91,5.81,3.59,2846
7477,1.22,Ideal,G,SI1,61.6,57.0,6.89,6.81,4.22,6559
9116,0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,2682
5007,2.01,Very Good,H,SI1,60.6,62.0,8.05,8.08,4.89,16582
3872,0.51,Very Good,D,SI1,62.2,58.0,5.08,5.11,3.17,1398
26163,1.27,Premium,G,VS2,61.0,60.0,6.97,6.93,4.24,8705
6010,0.38,Very Good,I,SI1,59.7,62.0,4.7,4.74,2.82,601
9110,0.5,Premium,F,VS1,62.0,58.0,5.1,5.03,3.14,1838
16468,0.31,Very Good,E,SI1,62.3,56.0,4.37,4.4,2.73,544
6388,1.51,Good,I,VVS1,64.0,60.0,7.21,7.26,4.63,9301
3447,0.24,Ideal,F,VS2,62.2,57.0,3.96,4.01,2.48,419
12332,0.26,Very Good,F,VVS1,62.0,59.0,4.08,4.15,2.55,597
1516,1.5,Good,J,VS2,61.7,56.0,7.23,7.33,4.49,7177
7614,0.34,Ideal,F,VVS1,61.1,56.0,4.5,4.53,2.76,1174
16700,1.21,Ideal,J,SI1,62.7,55.2,6.79,6.84,4.27,5390
17601,1.22,Ideal,F,VS2,60.7,57.0,6.89,6.94,4.2,9568
13928,0.71,Very Good,D,SI1,63.2,56.0,5.69,5.73,3.61,2652
8036,1.0,Good,F,SI2,62.7,57.0,6.29,6.34,3.96,4081
17293,1.18,Very Good,H,SI1,63.3,55.0,6.75,6.72,4.26,5815
7715,1.09,Ideal,F,SI1,62.0,56.0,6.59,6.61,4.09,5816
10986,1.17,Fair,I,I1,65.4,62.0,6.68,6.57,4.33,2935
10551,0.82,Premium,H,VS1,62.3,60.0,5.97,5.94,3.71,2985
23785,1.08,Very Good,G,VS2,63.2,60.0,6.53,6.44,4.1,6096
16647,0.8,Ideal,E,VS1,61.8,56.0,5.92,5.96,3.67,5007
21314,1.01,Premium,G,VS1,59.9,59.0,6.51,6.48,3.89,6353
6895,2.01,Premium,I,SI2,62.3,59.0,8.01,7.97,4.98,12182
14709,0.73,Ideal,H,IF,62.3,55.0,5.77,5.79,3.6,3785
14224,0.39,Ideal,G,SI2,60.9,56.0,4.78,4.74,2.9,716
13271,0.33,Premium,G,VS1,,59.0,4.51,4.54,2.68,666
18087,0.87,Ideal,H,SI2,63.0,57.0,6.07,6.02,3.81,2307
6159,0.26,Very Good,E,VVS2,63.0,58.0,4.08,4.11,2.58,597
12725,0.71,Very Good,E,VS2,61.6,56.0,5.74,5.81,3.56,2630
5935,0.34,Very Good,J,VS1,61.7,58.0,4.41,4.47,2.74,447
958,0.7,Good,I,SI2,63.5,56.0,5.59,5.63,3.56,1675
18260,0.71,Premium,D,VS1,62.9,57.0,5.66,5.6,3.54,2860
18287,0.3,Ideal,H,IF,61.2,56.0,4.36,4.37,2.67,764
5421,0.3,Ideal,G,IF,60.9,57.0,4.35,4.39,2.66,863
26552,1.22,Very Good,F,VS2,62.3,57.0,6.8,6.84,4.25,8575
20560,2.07,Good,I,VS2,64.1,57.0,8.07,8.0,5.15,15119
1250,0.31,Good,I,SI1,63.8,55.0,4.31,4.34,2.76,408
19320,1.25,Premium,H,VS2,60.4,59.0,6.96,6.92,4.19,7378
21657,0.31,Very Good,G,VS1,63.2,56.0,4.29,4.28,2.71,802
23084,0.59,Ideal,G,VVS2,62.6,57.0,5.33,5.37,3.35,2125
26950,1.03,Ideal,G,VVS1,62.0,56.0,6.54,6.5,4.04,8398
13998,0.26,Ideal,G,SI1,62.0,55.0,4.08,4.11,2.54,394
16670,1.51,Premium,E,SI1,63.0,58.0,7.4,7.27,4.62,8836
15826,0.37,Very Good,E,SI2,61.6,56.0,4.61,4.65,2.85,493
11226,0.31,Good,H,VS1,63.6,55.0,4.32,4.29,2.74,698
23124,1.01,Premium,G,VS2,62.5,60.0,6.37,6.31,3.96,5620
15162,0.7,Very Good,I,VS2,60.1,57.0,5.79,5.82,3.49,2316
17355,0.57,Ideal,E,VS2,62.1,55.0,5.37,5.33,3.32,1778
14676,0.51,Ideal,H,VVS1,61.8,55.0,5.15,5.18,3.19,1776
8636,0.74,Premium,D,VS1,62.3,58.0,5.79,5.77,3.6,3461
25833,0.43,Premium,G,VS2,61.2,58.0,4.9,4.84,2.98,1113
11499,0.83,Very Good,D,VS1,58.2,59.0,6.19,6.24,3.62,4521
23185,0.5,Premium,D,VS2,59.7,57.0,5.13,5.08,3.05,1819
4245,2.01,Fair,J,SI1,64.4,61.0,7.74,7.78,5.0,11212
20719,0.45,Ideal,I,VS1,62.1,55.0,4.9,4.92,3.05,825
16589,1.22,Very Good,E,VS2,60.8,59.0,6.87,6.91,4.19,9475
5247,0.53,Very Good,E,VS2,63.5,59.0,5.17,5.13,3.27,1678
22962,0.32,Very Good,E,SI1,62.2,58.0,4.36,4.39,2.72,561
18862,0.9,Premium,G,SI1,61.0,60.0,6.17,6.12,3.75,3879
14165,0.4,Very Good,E,VS2,62.0,60.0,4.67,4.69,2.9,879
5962,0.91,Ideal,G,SI1,62.5,56.0,6.19,6.22,3.88,4673
5795,0.57,Ideal,E,VS2,60.8,56.0,5.4,5.35,3.27,1819
18686,1.0,Ideal,H,VVS2,62.9,55.0,6.34,6.39,4.0,6607
7793,1.01,Very Good,H,SI2,63.5,58.0,6.29,6.37,4.02,4475
13548,0.43,Ideal,G,VS1,61.9,55.0,4.84,4.86,3.0,943
18621,1.03,Ideal,D,SI2,60.5,58.0,6.52,6.58,3.96,5491
18006,1.16,Ideal,G,SI2,61.9,56.0,6.73,6.77,4.18,4880
21565,0.3,Very Good,H,VS1,63.3,56.0,4.3,4.26,2.71,675
12816,0.71,Very Good,G,VS2,61.8,56.0,5.69,5.74,3.53,2647
16461,1.01,Ideal,F,VS1,62.0,57.0,6.46,6.42,3.99,7887
4339,0.43,Premium,F,VS2,61.0,57.0,4.87,4.84,2.96,968
514,0.3,Ideal,F,VS2,62.0,54.0,4.31,4.34,2.68,605
1200,0.41,Ideal,G,VS2,62.4,54.0,4.81,4.78,2.99,1061
13188,0.7,Ideal,H,SI1,61.5,55.0,5.73,5.79,3.54,2815
8342,0.9,Very Good,G,VVS1,63.3,58.0,6.05,6.14,3.86,4697
26596,0.34,Ideal,F,VS2,61.6,57.0,4.53,4.47,2.77,880
18622,0.67,Good,D,SI1,63.8,57.0,5.53,5.48,3.51,2258
24192,1.1,Premium,G,VS2,59.4,60.0,6.78,6.72,4.01,7022
19152,1.0,Good,E,SI2,63.5,56.0,6.31,6.38,4.03,4620
23462,0.59,Ideal,D,SI1,61.6,57.0,5.41,5.44,3.34,1743
16846,0.79,Very Good,H,SI1,63.4,57.0,5.86,5.9,3.73,2649
8132,0.27,Good,E,VVS1,63.9,57.0,4.07,4.1,2.61,586
4461,1.02,Ideal,H,SI2,59.8,58.0,6.55,6.59,3.93,4742
3085,1.21,Ideal,I,VS1,61.7,53.0,6.89,6.92,4.26,7111
24896,1.05,Very Good,H,SI1,60.5,58.0,6.55,6.6,3.98,5406
17345,0.31,Ideal,F,VS2,62.3,57.0,4.34,4.3,2.69,802
14044,1.02,Good,F,SI2,63.3,61.0,6.28,6.32,3.99,3811
17043,1.23,Very Good,G,SI2,61.0,63.0,6.91,6.85,4.2,4477
9056,0.85,Very Good,E,SI2,63.1,58.0,6.02,6.0,3.79,2966
8716,2.01,Very Good,J,SI2,63.3,56.0,7.86,7.96,5.01,10490
6932,0.4,Good,F,VS2,63.4,54.4,4.68,4.73,2.99,826
2117,0.52,Ideal,F,VVS1,62.3,56.0,5.14,5.16,3.21,2333
15713,0.71,Premium,I,SI1,60.2,58.0,5.83,5.76,3.49,2173
673,1.02,Very Good,E,VS1,58.9,59.0,6.52,6.65,3.88,7253
19636,0.35,Premium,H,VVS1,62.1,58.0,4.52,4.46,2.79,1024
910,0.51,Ideal,H,SI2,61.9,54.0,5.13,5.15,3.18,983
6331,1.12,Very Good,D,SI1,62.2,59.0,6.65,6.67,4.14,5966
15408,1.5,Good,J,VS1,,61.0,7.27,7.3,4.42,8347
18774,0.77,Good,H,SI2,58.6,64.0,6.01,5.93,3.5,2262
26012,0.3,Ideal,D,SI2,61.1,58.0,4.31,4.33,2.64,413
24990,0.36,Ideal,I,IF,60.8,57.0,4.6,4.64,2.81,852
14058,2.01,Ideal,I,SI1,62.3,57.0,8.04,8.08,5.02,15680
13638,1.55,Very Good,I,SI1,62.0,62.0,7.33,7.47,4.59,8644
12340,0.51,Very Good,E,VVS1,59.7,59.0,5.19,5.2,3.1,2369
22707,1.06,Very Good,D,VS2,59.6,60.0,6.68,6.71,3.99,7149
18271,0.41,Ideal,E,SI1,62.6,57.0,4.72,4.73,2.96,755
15068,0.72,Very Good,J,VS2,62.2,58.0,5.68,5.73,3.55,2028
4502,1.07,Very Good,D,SI2,62.6,61.0,6.42,6.49,4.04,4861
11996,0.33,Ideal,D,VS2,62.6,56.0,4.39,4.43,2.76,781
12412,2.48,Very Good,H,SI1,63.3,56.0,8.6,8.55,5.43,17893
3205,0.54,Ideal,H,VVS1,60.4,55.0,5.27,5.32,3.2,1846
1002,0.9,Good,E,VS1,62.7,58.0,6.07,6.12,3.82,5201
15502,1.01,Very Good,E,SI2,62.4,58.0,6.36,6.42,3.99,4355
25098,1.23,Premium,H,SI1,62.1,58.0,6.85,6.78,4.23,5183
4623,1.0,Premium,G,VVS2,60.5,62.0,6.44,6.39,3.88,7392
10956,0.21,Premium,D,VS2,61.6,59.0,3.82,3.78,2.34,386
25612,2.01,Fair,E,SI2,65.5,56.0,7.84,7.79,5.12,11156
2130,0.74,Ideal,F,VS2,60.8,57.0,5.85,5.87,3.56,3246
23575,0.27,Ideal,F,VS2,60.3,56.0,4.21,4.25,2.55,470
366,0.73,Ideal,G,VS2,62.5,56.0,5.78,5.74,3.6,2586
21310,1.0,Ideal,H,SI1,61.4,55.0,6.49,6.44,3.97,4469
12948,0.55,Premium,D,SI1,61.0,58.0,5.27,5.29,3.22,1692
23800,0.39,Very Good,G,VS2,63.4,57.0,4.67,4.63,2.95,1009
5287,1.5,Premium,D,SI2,59.9,62.0,7.4,7.37,4.42,10517
24893,0.41,Very Good,E,VVS1,62.9,59.0,4.72,4.76,2.98,1367
22400,1.71,Premium,G,VS2,61.3,58.0,7.79,7.7,4.75,13951
26432,1.5,Very Good,I,VS1,60.8,63.0,7.37,7.41,4.49,9281
2950,2.03,Premium,J,SI2,60.9,60.0,8.21,8.1,4.97,12078
16236,1.14,Ideal,I,SI1,60.8,58.0,6.71,6.74,4.09,5096
26114,0.5,Ideal,J,VS2,61.6,57.0,5.08,5.12,3.14,1099
3048,0.4,Premium,F,VS2,61.0,58.0,4.72,4.79,2.9,842
1496,1.0,Ideal,G,VS1,62.7,54.0,6.37,6.42,4.01,6349
18950,0.3,Very Good,E,SI1,63.2,57.0,4.3,4.25,2.7,675
16668,0.52,Ideal,F,VVS1,62.0,54.0,5.16,5.19,3.2,2388
7829,0.91,Ideal,F,SI1,62.0,55.0,6.21,6.24,3.86,5176
25544,0.72,Ideal,G,VS1,61.3,56.0,5.77,5.82,3.55,3102
17948,0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,489
19295,0.33,Premium,E,VS1,61.0,55.0,4.51,4.47,2.74,1069
24431,0.42,Good,G,VVS2,57.7,59.8,4.95,4.96,2.86,1076
9559,1.24,Ideal,H,VVS2,62.0,56.0,6.92,6.86,4.27,8069
25102,1.13,Premium,G,VVS1,59.3,59.0,6.87,6.79,4.05,8868
400,0.32,Premium,G,VS2,62.3,58.0,4.41,4.36,2.73,720
22138,2.25,Ideal,H,SI1,62.4,56.0,8.4,8.37,5.23,14348
3685,0.33,Ideal,G,VS1,61.9,55.0,4.41,4.44,2.74,666
4672,0.38,Premium,E,VS2,60.5,58.0,4.7,4.66,2.83,1112
26418,0.3,Ideal,G,VS1,61.1,56.0,4.36,4.35,2.66,673
20163,1.18,Ideal,D,SI1,61.9,55.0,6.8,6.76,4.2,7216
15899,0.55,Very Good,F,VS2,62.1,55.4,5.25,5.27,3.26,1777
1091,0.9,Good,D,VVS1,62.9,58.0,6.01,6.1,3.81,8239
8069,0.43,Ideal,E,SI2,61.9,57.0,4.86,4.83,3.0,919
20703,0.3,Very Good,E,VS1,60.2,57.0,4.37,4.3,2.61,653
1463,0.9,Fair,E,VS1,67.6,56.0,5.94,5.9,4.0,3276
26438,1.09,Ideal,H,SI1,61.1,57.0,6.6,6.69,4.1,5125
26233,0.46,Very Good,D,VS2,60.9,58.0,4.94,4.97,3.02,1326
17619,0.72,Ideal,H,VVS1,60.8,58.0,5.77,5.8,3.52,3180
10476,1.5,Premium,F,VS2,,53.0,7.37,7.33,4.56,13506
21834,0.74,Premium,F,SI1,58.8,61.0,5.88,5.82,3.44,2042
10720,1.01,Very Good,G,VS2,63.1,59.0,6.4,6.37,4.03,6108
18142,1.05,Premium,E,SI2,60.9,61.0,6.61,6.55,4.01,3951
960,0.91,Ideal,I,VS1,62.5,55.0,6.25,6.2,3.89,3669
17075,0.31,Ideal,G,VVS2,60.8,56.0,4.41,4.44,2.69,687
9005,1.02,Premium,F,SI2,,58.0,6.43,6.37,4.03,4398
14072,1.0,Fair,H,VS1,64.6,59.0,6.3,6.26,4.06,5242
4009,0.71,Very Good,F,VS2,63.1,58.0,5.65,5.7,3.58,2588
20636,0.32,Premium,G,VS2,60.8,59.0,4.41,4.44,2.69,561
24134,0.33,Ideal,G,VVS2,62.7,55.0,4.46,4.41,2.78,965
14200,0.41,Very Good,D,SI1,63.0,56.0,4.75,4.8,3.01,717
16507,0.3,Ideal,D,SI1,61.0,54.0,4.34,4.35,2.65,552
9970,1.5,Very Good,F,SI1,63.4,58.0,7.2,7.16,4.55,10962
19501,0.46,Ideal,G,IF,62.5,57.0,4.89,4.94,3.07,1441
7849,0.72,Ideal,H,SI2,60.9,56.0,5.87,5.78,3.55,1901
